,fecha,Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95,,,,,DATO REAL,PRONOSTICADO A 252,DIFERENCIA,PRONOSTICADO A 230,Diferencia
2020.321,27/04/2020,4.031638622,3.236384986,4.826892257,2.815403141,5.247874102,,,,,,,,,
2020.325,28/04/2020,3.936178225,3.133365731,4.738990719,2.708382468,5.163973983,,,,,,,,,
2020.329,30/04/2020,3.935961435,3.125657204,4.746265666,2.696708054,5.175214815,,,,,,,,,
2020.333,01/05/2020,3.961953462,3.144222769,4.779684154,2.711342289,5.212564634,,,,,,,,,
2020.337,03/05/2020,3.911113255,3.086019613,4.736206897,2.649241423,5.172985087,,,,,,,,,
2020.341,04/05/2020,3.88683391,3.054439143,4.719228676,2.613795971,5.159871848,,,,,,,,,
2020.345,06/05/2020,3.863890003,3.024254322,4.703525684,2.579778041,5.148001964,,,,,,,,,
2020.349,07/05/2020,3.874175502,3.027357571,4.720993433,2.579079237,5.169271767,,,,,,,,,
2020.353,09/05/2020,3.919305704,3.065362707,4.773248702,2.61331259,5.225298819,,,,,,,,,
2020.357,10/05/2020,3.858100198,2.997087895,4.719112501,2.541295514,5.174904882,,,,,,,,,
2020.361,12/05/2020,3.806284716,2.938257505,4.674311927,2.478751656,5.133817775,,,,,,,,,
2020.365,13/05/2020,3.785249394,2.910260363,4.660238424,2.44706915,5.123429637,,,,,,,,,
2020.369,15/05/2020,3.802067298,2.920168278,4.683966319,2.453319137,5.15081546,,,,,,,,,
2020.373,16/05/2020,3.815055204,2.926296813,4.703813596,2.45581654,5.174293868,,,,,,,,,
2020.377,17/05/2020,3.784721037,2.88915273,4.680289345,2.415067505,5.154374569,,,,,,,,,
2020.381,19/05/2020,3.779855451,2.87752556,4.682185341,2.39986097,5.159849931,,,,,,,,,
2020.385,20/05/2020,3.783946809,2.87490259,4.692991029,2.393683648,5.174209971,,,,,,,,,
2020.389,22/05/2020,3.771605874,2.855893538,4.68731821,2.371144708,5.172067039,,,,,,,,,
2020.393,23/05/2020,3.731159959,2.808824716,4.653495203,2.320569931,5.141749988,,,,,,,,,
2020.397,25/05/2020,3.662453023,2.733539113,4.591366933,2.241801792,5.083104253,,,,,,,,,
2020.401,26/05/2020,3.639749452,2.704300181,4.575198722,2.20910325,5.070395654,,,,,,,,,
2020.405,28/05/2020,3.637813917,2.695871689,4.579756145,2.197237594,5.078390241,,,,,,,,,
2020.409,29/05/2020,3.608270893,2.659877238,4.556664547,2.157827964,5.058713821,,,,,,,,,
2020.413,31/05/2020,3.635915234,2.681110841,4.590719626,2.175667927,5.09616254,,,,,,,,,
2020.417,01/06/2020,3.627008001,2.665832743,4.588183259,2.157017296,5.096998706,,,,,,,,,
2020.421,03/06/2020,3.628491544,2.660984504,4.595998585,2.148817214,5.108165874,,,,,,,,,
2020.425,04/06/2020,3.703464448,2.729663945,4.677264952,2.214165098,5.192763799,,,,,,,,,
2020.429,06/06/2020,3.81023031,2.830173925,4.790286696,2.311363414,5.309097207,,,,,,,,,
2020.433,07/06/2020,3.819873575,2.833598171,4.806148979,2.311495511,5.328251639,,,,,,,,,
2020.437,08/06/2020,3.80841135,2.815953098,4.800869602,2.290577434,5.326245265,,,,,,,,,
2020.44,10/06/2020,3.683097433,2.684491829,4.681703037,2.155861954,5.210332912,,,,,,,,,
2020.444,11/06/2020,3.701929951,2.697211838,4.706648063,2.165346197,5.238513705,,,,,,,,,
2020.448,12/06/2020,3.711472036,2.700675625,4.722268446,2.165592328,5.257351744,,,,,,,,,
2020.452,14/06/2020,3.707716171,2.690875059,4.724557284,2.152591889,5.262840454,,,,,,,,,
2020.456,15/06/2020,3.713184776,2.690331959,4.736037592,2.148866386,5.277503165,,,,,,,,,
2020.46,17/06/2020,3.71923487,2.69040277,4.748066971,2.145771955,5.292697786,,,,,,,,,
2020.464,18/06/2020,3.746491636,2.711712107,4.781271165,2.163932913,5.329050359,,,,,,,,,
2020.468,20/06/2020,3.800465923,2.759770274,4.841161572,2.208859276,5.392072571,,,,,,,,,
2020.472,21/06/2020,3.780052082,2.73347109,4.826633074,2.179444578,5.380659586,,,,,,,,,
2020.476,23/06/2020,3.718479269,2.666043192,4.770915346,2.108917186,5.328041352,,,,,,,,,
2020.48,24/06/2020,3.733785093,2.675523687,4.792046499,2.115313938,5.352256248,,,,,,,,,
2020.484,26/06/2020,3.733620132,2.669562662,4.797677602,2.106284662,5.360955602,,,,,,,,,
2020.488,27/06/2020,3.719380253,2.649555507,4.789204998,2.083224497,5.355536009,,,,,,,,,
2020.492,29/06/2020,3.731601612,2.656037915,4.807165308,2.086668888,5.376534335,,,,,,,,,
2020.496,30/06/2020,3.771993899,2.690719124,4.853268674,2.118326834,5.425660964,,,,,,,,,
2020.5,02/07/2020,3.834124141,2.74716572,4.921082563,2.171764689,5.496483594,,,,,,,,,
2020.504,03/07/2020,3.862604093,2.769989027,4.955219159,2.19159355,5.533614637,,,,,,,,,
2020.508,04/07/2020,3.834229958,2.735984832,4.932475084,2.15460898,5.513850936,,,,,,,,,
