"","fecha","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2020.948","2020-12-12",4.14707222118424,3.12984565749257,5.16429878487591,2.59135844223391,5.70278600013457
"2020.952","2020-12-14",4.1857590243582,3.16207692095257,5.20944112776384,2.62017234939626,5.75134569932015
"2020.957","2020-12-16",4.22222169312144,3.1921215831397,5.25232180310317,2.64681952412874,5.79762386211413
"2020.961","2020-12-17",4.16721554318117,3.13073426120567,5.20369682515666,2.58205421379011,5.75237687257222
"2020.965","2020-12-19",4.2145580032043,3.17173170631245,5.25738430009615,2.61969281089288,5.80942319551572
"2020.970","2020-12-21",4.30308446152357,3.25394864946248,5.35222027358467,2.69856969846985,5.9075992245773
"2020.974","2020-12-22",4.30822292480608,3.25281245933754,5.36363339027461,2.69411190747379,5.92233394213836
"2020.978","2020-12-23",4.31360337306062,3.25195249651982,5.37525424960141,2.68994847058224,5.937258275539
"2020.983","2020-12-25",4.29127446017779,3.22341681328624,5.35913210706934,2.65812712159706,5.92442179875852
"2020.987","2020-12-27",4.35662559027631,3.28259422924712,5.4306569513055,2.71403637070855,5.99921480984407
"2020.991","2020-12-28",4.31127440061163,3.23110181358287,5.3914469876404,2.65929298637633,5.96325581484693
"2020.996","2020-12-30",4.33120100149833,3.24491912432795,5.41748287866871,2.66987623427545,5.99252576872122
"2021.000","2021-01-01",4.32649262555888,3.23413285701277,5.418852394105,2.65587252561692,5.99711272550085
"2021.004","2021-01-02",4.31004908907859,3.21164230544133,5.40845587271586,2.63018087761988,5.98991730053731
"2021.009","2021-01-04",4.27868161458489,3.17425818372117,5.3831050454486,2.58961173525064,5.96775149391914
"2021.013","2021-01-05",4.29207984692853,3.18166964182149,5.40249005203558,2.59385398650388,5.99030570735318
"2021.017","2021-01-07",4.31053706813403,3.1941694799251,5.42690465634295,2.60320017649087,6.01787395977718
"2021.022","2021-01-09",4.36710873608492,3.24481268663875,5.48940478553109,2.65070504539822,6.08351242677162
"2021.026","2021-01-10",4.34030910696917,3.21211306098543,5.46850515295291,2.61488215024039,6.06573606369795
"2021.030","2021-01-11",4.24777102698815,3.11370300368108,5.38183905029523,2.51336365590758,5.98217839806872
"2021.035","2021-01-13",4.18465558146488,3.04474316583018,5.32456799709957,2.44130998364289,5.92800117928686
"2021.039","2021-01-15",4.1797311411878,3.03400149487548,5.32546078750013,2.42748885678335,5.93197342559225
"2021.043","2021-01-16",4.22124793146476,3.06972780327527,5.37276805965425,2.46014986923793,5.98234599369158
"2021.048","2021-01-18",4.29586634302663,3.13858207904718,5.45315060700609,2.52595279584074,6.06577989021252
