"","fecha","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2020.226","2020-03-23",4.11539013068117,3.52873913781038,4.70204112355195,3.21818486135376,5.01259540000857
"2020.230","2020-03-25",4.14402577598879,3.54727797313999,4.7407735788376,3.23137876834378,5.05667278363381
"2020.234","2020-03-26",4.13853140159317,3.53185032970402,4.74521247348232,3.21069276991113,5.06637003327521
"2020.238","2020-03-28",4.15047458468502,3.53401587702083,4.7669332923492,3.20768234950526,5.09326681986477
"2020.242","2020-03-29",4.10977381654695,3.48368581277035,4.73586182032356,3.15225484380608,5.06729278928783
"2020.246","2020-03-31",4.12270427966709,3.48712857519719,4.75827998413699,3.15067512087136,5.09473343846283
"2020.250","2020-04-01",4.09130941935408,3.44638135852533,4.73623748018283,3.10497706580071,5.07764177290745
"2020.254","2020-04-02",4.10525664536148,3.45110576556317,4.75940752515979,3.10481920739148,5.10569408333147
"2020.258","2020-04-04",4.06460672387474,3.40135715676188,4.72785629098759,3.05025404447197,5.0789594032775
"2020.262","2020-04-05",4.10271384558816,3.43048468055424,4.77494301062209,3.07462805626291,5.13079963491341
"2020.266","2020-04-07",4.10351541704057,3.42242103139575,4.78460980268539,3.06187144279362,5.14515939128752
"2020.270","2020-04-08",4.10719452096758,3.41734488064291,4.79704416129226,3.0521605401775,5.16222850175766
"2020.274","2020-04-10",4.09537236609427,3.39687330016965,4.7938714320189,3.02711023037182,5.16363450181673
"2020.278","2020-04-11",4.0731201006279,3.36607355254195,4.78016664871385,2.99178571900828,5.15445448224752
"2020.282","2020-04-13",4.04883994629842,3.33334420422571,4.76433568837113,2.95458363757289,5.14309625502396
"2020.286","2020-04-14",4.02409998373042,3.30024989229541,4.74795007516543,2.91706680023479,5.13113316722605
"2020.290","2020-04-16",4.01336403167386,3.28125118690097,4.74547687644675,2.89369405743896,5.13303400590876
"2020.294","2020-04-17",4.12357227012383,3.38328519929217,4.86385934095549,2.9914008959395,5.25574364430816
"2020.298","2020-04-19",4.06990460166876,3.32152892954131,4.81828027379622,2.92536277930951,5.21444642402801
"2020.302","2020-04-20",4.12412694299467,3.36774554572063,4.88050834026871,2.96734142059299,5.28091246539635
